ID,Site,Year,Month,Day,Surface Temp C st,Bottom Temp C st,Surface Salinity ppt st,Bottom Salinity ppt st,Surface DO mg/l st,Bottom DO mg/l st,Surface Temp C end,Bottom Temp C end,Surface Salinity ppt end,Bottom Salinity ppt end,Surface DO mg/l end,Bottom DO mg/l end,,ID,Site,Year,Month,Day,Surface Temp C st,Bottom Temp C st,Surface Salinity ppt st,Bottom Salinity ppt st,Surface DO mg/l st,Bottom DO mg/l st,Surface Temp C end,Bottom Temp C end,Surface Salinity ppt end,Bottom Salinity ppt end,Surface DO mg/l end,Bottom DO mg/l end,,Year,Month,Bottom Temp C st,Bottom Salinity ppt st,Bottom DO mg/l st,,Year,Month,Mean Btm Temp,STDEV,Mean Btm Salinity,STDEV,Mean Btm DO,STDEV
07-30-03_1,1,2003,July,30,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-30-03_2b,2b,2003,July,30,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-30-03_2,2,2003,August,30,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-30-03_3,3,2003,August,30,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-30-03_5,5,2003,August,30,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-31-04_3,3,2004,August,31,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-31-04_4,4,2004,August,31,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-31-04_2,2,2004,August,31,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-31-04_1,1,2004,August,31,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-31-04_5,5,2004,August,31,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-5-05_1,1,2005,August,5,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-5-05_2,2,2005,August,5,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-5-05_3,3,2005,August,5,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-28-05_1,1,2005,September,28,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-28-05_3,3,2005,September,28,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-28-05_4,4,2005,September,28,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-29-04_3,3,2004,September,29,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-29-04_2,2,2004,September,29,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
